"","SampleID","Type","Name","Code","ReplicateSet","Year","Month","Day","Date","NewLat","NewLon","Marker","Taxon","RawVertReadsPerSample","RawReads","RawPropReads","CorrectedReads","CorrectedPropReads","VolFil","ABL_Sample_Type","DNAConc","Run","Ct1","Ct2","Ct3","CtMean","CtSD","Quant1","Quant2","Quant3","QuantMean","Result","Notes","WPT","MaxFlow","maxPSI","Verified","StartTime","EndTime","TimeAtSite","River.Width","MeanDepth","MeanFlow","WaterTemp","mmHg","kPa","DO.","DOmg.L","C.us..cm","pH.mV","pH","ORP.mV","Chlorine","Alkalinity","CC.","WC","FullTrans","SampleNotes","SiteNotes","Depth1","Depth2","Depth3","Depth4","Depth5","Depth6","Depth7","Depth8","Depth9","Depth10","Depth11","Depth12","Depth13","Depth14","Depth15","Depth16","Depth17","Depth18","Depth19","Depth20","FlowDist.ft","SurfaceFlow1.sec","SurflaceFlow2.sec","SurfaceFlow3.sec","Flow1","Flow2","Flow3","Flow4","Flow5","Flow6","Flow7","Flow8","Flow9","Flow10","Flow11","Flow12","Flow13","Flow14","Flow15","Flow16","Flow17","Flow18","Flow19","Flow20"
"216","ENG2019C1","Center","English River","ENG",3,"2019","September","1","9/1/2019",54.97005,-59.7496,"MIFISHU","Salvelinus alpinus",1056018,47382,"0.04487",47366,"0.04485","1","Sample",2576,"APC0235 Arctic charr qPCR 01 R2","Undetermined","35.835","37.411",36.623,1.115,NA,4.764,1.651,3.2075,"Suspected","","139",0.8,12,1,"9:34","10:53","1:19",NA,66.7,3.4,14.4,759,NA,"95.5",9.76,11.8,13.6,6.76,288,NA,NA,20,"sunny with breeze","no ","directly upstream of smolt trap","got most of the way across the far branch for flow but not close branch. Flow 1-5 are far branch and 6-10 are close branch with trap",59,48,80,90,103,74,58,25,31,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.9,2.2,1.8,1.1,9.4,3.6,4.2,4.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","ENG2019C2","Center","English River","ENG",3,"2019","September","1","9/1/2019",54.97005,-59.7496,"FISHE","Salvelinus alpinus",115,0,"0",0,"0","1","Sample",525,"APC0235 Arctic charr qPCR 01 R2","Undetermined","Undetermined","37.576",37.576,NA,NA,NA,1.478,1.478,"Not Detected/Inconclusive","","139",0.8,12,1,"9:34","10:53","1:19",NA,66.7,3.4,14.4,759,NA,"95.5",9.76,11.8,13.6,6.76,288,NA,NA,20,"sunny with breeze","no ","directly upstream of smolt trap","got most of the way across the far branch for flow but not close branch. Flow 1-5 are far branch and 6-10 are close branch with trap",59,48,80,90,103,74,58,25,31,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.9,2.2,1.8,1.1,9.4,3.6,4.2,4.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","ENG2019C2","Center","English River","ENG",3,"2019","September","1","9/1/2019",54.97005,-59.7496,"MIFISHU","Salvelinus alpinus",902658,6,"6.647e-06",0,"0","1","Sample",525,"APC0235 Arctic charr qPCR 01 R2","Undetermined","Undetermined","37.576",37.576,NA,NA,NA,1.478,1.478,"Not Detected/Inconclusive","","139",0.8,12,1,"9:34","10:53","1:19",NA,66.7,3.4,14.4,759,NA,"95.5",9.76,11.8,13.6,6.76,288,NA,NA,20,"sunny with breeze","no ","directly upstream of smolt trap","got most of the way across the far branch for flow but not close branch. Flow 1-5 are far branch and 6-10 are close branch with trap",59,48,80,90,103,74,58,25,31,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.9,2.2,1.8,1.1,9.4,3.6,4.2,4.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","ENG2019C3","Center","English River","ENG",3,"2019","September","1","9/1/2019",54.97005,-59.7496,"FISHE","Salvelinus alpinus",845,94,"0.1112",90,"0.1065","1","Sample",2341,"APC0235 Arctic charr qPCR 01 R2","35.983","35.328","36.947",36.086,0.815,4.313,6.7,2.255,4.42266666666667,"Detected","","139",0.8,12,1,"9:34","10:53","1:19",NA,66.7,3.4,14.4,759,NA,"95.5",9.76,11.8,13.6,6.76,288,NA,NA,20,"sunny with breeze","no ","directly upstream of smolt trap","got most of the way across the far branch for flow but not close branch. Flow 1-5 are far branch and 6-10 are close branch with trap",59,48,80,90,103,74,58,25,31,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.9,2.2,1.8,1.1,9.4,3.6,4.2,4.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","ENG2019C3","Center","English River","ENG",3,"2019","September","1","9/1/2019",54.97005,-59.7496,"MIFISHU","Salvelinus alpinus",686996,190262,"0.2769",190246,"0.2769","1","Sample",2341,"APC0235 Arctic charr qPCR 01 R2","35.983","35.328","36.947",36.086,0.815,4.313,6.7,2.255,4.42266666666667,"Detected","","139",0.8,12,1,"9:34","10:53","1:19",NA,66.7,3.4,14.4,759,NA,"95.5",9.76,11.8,13.6,6.76,288,NA,NA,20,"sunny with breeze","no ","directly upstream of smolt trap","got most of the way across the far branch for flow but not close branch. Flow 1-5 are far branch and 6-10 are close branch with trap",59,48,80,90,103,74,58,25,31,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.9,2.2,1.8,1.1,9.4,3.6,4.2,4.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","ENG21-L","Left","English River","ENG",2,"2021","August","30","8/30/2021",54.96998,-59.74943,"MIFISHU","Salvelinus alpinus",1,0,"0",0,"0","1.03","Sample",1446,"APC0235 Arctic charr qPCR 04","37.722","36.848","37.587",37.386,0.471,0.665,1.214,0.729,0.869333333333333,"Suspected","","329",NA,NA,NA,NA,NA,NA,63,0.5,0.6,15.7,NA,101.2,"117.6",11.7,13.9,34.4,6.3,233,NA,NA,NA,NA,"Y",NA,"2 channels: channel 1 - depth/flow 1-7, channel 2 - depth.flow 8-13",0.2,0.5,0.3,0.7,1.1,1.2,1,0.3,0.2,0.2,0.7,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.8,0.3,0.5,0.3,0.3,0.3,0.6,0.8,1.2,1.7,0.4,NA,NA,NA,NA,NA,NA,NA
"222","ENG21-R","Right","English River","ENG",4,"2021","August","30","8/30/2021",54.97007,-59.7488,"MIFISHU","Salvelinus alpinus",1,0,"0",0,"0","1.01","Sample",1530,"APC0235 Arctic charr qPCR 04","37.507","37.542","37.462",37.504,0.04,0.77,0.752,0.795,0.772333333333333,"Suspected","","331",NA,NA,NA,NA,NA,NA,63,0.5,0.6,15.7,NA,101.2,"117.6",11.7,13.9,34.4,6.3,233,NA,NA,NA,NA,"Y",NA,"2 channels: channel 1 - depth/flow 1-7, channel 2 - depth.flow 8-13",0.2,0.5,0.3,0.7,1.1,1.2,1,0.3,0.2,0.2,0.7,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.8,0.3,0.5,0.3,0.3,0.3,0.6,0.8,1.2,1.7,0.4,NA,NA,NA,NA,NA,NA,NA
"223","ERL21-C","Center","English River (Lake Mel)","ERL",3,"2021","August","31","8/31/2021",53.89021,-58.85241,"FISHE","Salvelinus alpinus",3912,0,"0",0,"0","0.99","Sample",4927,"APC0235 Arctic charr qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","","350/351",NA,NA,NA,NA,NA,NA,119.2,0.8,0.6,14.8,NA,100.6,"88",8.9,8.8,45.1,6.2,215,NA,NA,NA,NA,"N",NA,"2 channels: channel 1 - depth/flow 1-3 (too swift and deep to finish), channel 2 - dpeth/flow 4-8 (too swift to finish), a lot of water on, rain likely increased flow",0.2,0.7,1.1,0.6,0.8,0.9,0.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,0.6,0.1,0.3,0.8,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","ERL21-C","Center","English River (Lake Mel)","ERL",3,"2021","August","31","8/31/2021",53.89021,-58.85241,"MIFISHU","Salvelinus alpinus",1066854,3,"2.812e-06",0,"0","0.99","Sample",4927,"APC0235 Arctic charr qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","","350/351",NA,NA,NA,NA,NA,NA,119.2,0.8,0.6,14.8,NA,100.6,"88",8.9,8.8,45.1,6.2,215,NA,NA,NA,NA,"N",NA,"2 channels: channel 1 - depth/flow 1-3 (too swift and deep to finish), channel 2 - dpeth/flow 4-8 (too swift to finish), a lot of water on, rain likely increased flow",0.2,0.7,1.1,0.6,0.8,0.9,0.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,0.6,0.1,0.3,0.8,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","ERL21-L","Left","English River (Lake Mel)","ERL",2,"2021","August","31","8/31/2021",53.89021,-58.85241,"FISHE","Salvelinus alpinus",3540,0,"0",0,"0","1.02","Sample",2678,"APC0235 Arctic charr qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","","349",NA,NA,NA,NA,NA,NA,119.2,0.8,0.6,14.8,NA,100.6,"88",8.9,8.8,45.1,6.2,215,NA,NA,NA,NA,"N",NA,"2 channels: channel 1 - depth/flow 1-3 (too swift and deep to finish), channel 2 - dpeth/flow 4-8 (too swift to finish), a lot of water on, rain likely increased flow",0.2,0.7,1.1,0.6,0.8,0.9,0.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,0.6,0.1,0.3,0.8,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","ERL21-L","Left","English River (Lake Mel)","ERL",2,"2021","August","31","8/31/2021",53.89021,-58.85241,"MIFISHU","Salvelinus alpinus",1453541,96999,"0.06673",96991,"0.06673","1.02","Sample",2678,"APC0235 Arctic charr qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","","349",NA,NA,NA,NA,NA,NA,119.2,0.8,0.6,14.8,NA,100.6,"88",8.9,8.8,45.1,6.2,215,NA,NA,NA,NA,"N",NA,"2 channels: channel 1 - depth/flow 1-3 (too swift and deep to finish), channel 2 - dpeth/flow 4-8 (too swift to finish), a lot of water on, rain likely increased flow",0.2,0.7,1.1,0.6,0.8,0.9,0.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,0.6,0.1,0.3,0.8,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","ERL21-R","Right","English River (Lake Mel)","ERL",4,"2021","August","31","8/31/2021",53.89021,-58.85241,"FISHE","Salvelinus alpinus",2801,0,"0",0,"0","1.01","Sample",1705,"APC0235 Arctic charr qPCR 04","37.339","Undetermined","Undetermined",37.339,NA,0.865,NA,NA,0.865,"Not Detected/Inconclusive","","352",NA,NA,NA,NA,NA,NA,119.2,0.8,0.6,14.8,NA,100.6,"88",8.9,8.8,45.1,6.2,215,NA,NA,NA,NA,"N",NA,"2 channels: channel 1 - depth/flow 1-3 (too swift and deep to finish), channel 2 - dpeth/flow 4-8 (too swift to finish), a lot of water on, rain likely increased flow",0.2,0.7,1.1,0.6,0.8,0.9,0.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,0.6,0.1,0.3,0.8,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","ERL21-R","Right","English River (Lake Mel)","ERL",4,"2021","August","31","8/31/2021",53.89021,-58.85241,"MIFISHU","Salvelinus alpinus",416944,0,"0",0,"0","1.01","Sample",1705,"APC0235 Arctic charr qPCR 04","37.339","Undetermined","Undetermined",37.339,NA,0.865,NA,NA,0.865,"Not Detected/Inconclusive","","352",NA,NA,NA,NA,NA,NA,119.2,0.8,0.6,14.8,NA,100.6,"88",8.9,8.8,45.1,6.2,215,NA,NA,NA,NA,"N",NA,"2 channels: channel 1 - depth/flow 1-3 (too swift and deep to finish), channel 2 - dpeth/flow 4-8 (too swift to finish), a lot of water on, rain likely increased flow",0.2,0.7,1.1,0.6,0.8,0.9,0.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,0.6,0.1,0.3,0.8,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","FHBC","Center","Fair Haven Brook","FHB",3,"2020","September","6","9/6/2020",47.540636,-53.892022,"FISHE","Salvelinus alpinus",1459,0,"0",0,"0","1.02","Sample",2003,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","",NA,NA,NA,1,NA,NA,NA,7.2,0.3,1.2,19.4,766,NA,"82.6",7.6,25.3,9.3,NA,210.7,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.8,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","FHBC","Center","Fair Haven Brook","FHB",3,"2020","September","6","9/6/2020",47.540636,-53.892022,"MIFISHU","Salvelinus alpinus",1209040,0,"0",0,"0","1.02","Sample",2003,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","",NA,NA,NA,1,NA,NA,NA,7.2,0.3,1.2,19.4,766,NA,"82.6",7.6,25.3,9.3,NA,210.7,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.8,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","FHBL","Left","Fair Haven Brook","FHB",2,"2020","September","6","9/6/2020",47.540616,-53.891988,"FISHE","Salvelinus alpinus",1141,0,"0",0,"0","1.05","Sample",2066,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","",NA,NA,NA,1,NA,NA,NA,7.2,0.3,1.2,19.4,766,NA,"82.6",7.6,25.3,9.3,NA,210.7,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.8,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","FHBL","Left","Fair Haven Brook","FHB",2,"2020","September","6","9/6/2020",47.540616,-53.891988,"MIFISHU","Salvelinus alpinus",1127322,0,"0",0,"0","1.05","Sample",2066,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","",NA,NA,NA,1,NA,NA,NA,7.2,0.3,1.2,19.4,766,NA,"82.6",7.6,25.3,9.3,NA,210.7,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.8,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","FHBR","Right","Fair Haven Brook","FHB",4,"2020","September","6","9/6/2020",47.540619,-53.892014,"FISHE","Salvelinus alpinus",2184,0,"0",0,"0","0.98","Sample",2692,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","",NA,NA,NA,1,NA,NA,NA,7.2,0.3,1.2,19.4,766,NA,"82.6",7.6,25.3,9.3,NA,210.7,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.8,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","FHBR","Right","Fair Haven Brook","FHB",4,"2020","September","6","9/6/2020",47.540619,-53.892014,"MIFISHU","Salvelinus alpinus",1641302,0,"0",0,"0","0.98","Sample",2692,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","",NA,NA,NA,1,NA,NA,NA,7.2,0.3,1.2,19.4,766,NA,"82.6",7.6,25.3,9.3,NA,210.7,NA,NA,NA,NA,"Y",NA,NA,0.3,0.4,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.8,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","FLW21-L","Left","Flatwater Brook","FLW",4,"2021","August","31","8/31/2021",54.16984,-57.60974,"MIFISHU","Salvelinus alpinus",2,1,"0.5",0,"0","0.98","Sample",1694,"APC0235 Arctic charr qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","","345",NA,NA,NA,NA,NA,NA,21.9,0.3,0.4,10.1,NA,100.9,"124.1",13.8,29.8,-1.5,6.9,-319.5,NA,NA,NA,NA,"Y",NA,NA,0.2,0.3,0.3,0.6,0.6,0.4,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.5,0.4,0.5,0.4,0.2,0.3,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","FOR21-C","Center","Forteau Brook","FOR",3,"2021","August","23","8/23/2021",51.50051,-56.94982,"FISHE","Salvelinus alpinus",273,0,"0",0,"0","0.89","Sample",3232,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","","259",NA,NA,NA,NA,NA,NA,33.9,0.6,0.6,20.2,NA,101.2,"115.1*",10.4,42.2,-44.7,7.6,216.6,NA,NA,NA,NA,"Y",NA,NA,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.5,0.4,0.8,0.6,0.3,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","FOR21-C","Center","Forteau Brook","FOR",3,"2021","August","23","8/23/2021",51.50051,-56.94982,"MIFISHU","Salvelinus alpinus",409314,0,"0",0,"0","0.89","Sample",3232,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","","259",NA,NA,NA,NA,NA,NA,33.9,0.6,0.6,20.2,NA,101.2,"115.1*",10.4,42.2,-44.7,7.6,216.6,NA,NA,NA,NA,"Y",NA,NA,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.5,0.4,0.8,0.6,0.3,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","FOR21-L","Left","Forteau Brook","FOR",2,"2021","August","23","8/23/2021",51.50037,-56.94992,"FISHE","Salvelinus alpinus",1629,0,"0",0,"0","0.87","Sample",2911,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","","258",NA,NA,NA,NA,NA,NA,33.9,0.6,0.6,20.2,NA,101.2,"115.1*",10.4,42.2,-44.7,7.6,216.6,NA,NA,NA,NA,"Y",NA,NA,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.5,0.4,0.8,0.6,0.3,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","FOR21-L","Left","Forteau Brook","FOR",2,"2021","August","23","8/23/2021",51.50037,-56.94992,"MIFISHU","Salvelinus alpinus",1300983,6,"4.612e-06",3,"2.306e-06","0.87","Sample",2911,"APC0235 Arctic charr qPCR 03","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","","258",NA,NA,NA,NA,NA,NA,33.9,0.6,0.6,20.2,NA,101.2,"115.1*",10.4,42.2,-44.7,7.6,216.6,NA,NA,NA,NA,"Y",NA,NA,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.5,0.4,0.8,0.6,0.3,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","FOR21-R","Right","Forteau Brook","FOR",4,"2021","August","23","8/23/2021",51.50037,-56.94992,"FISHE","Salvelinus alpinus",1566,0,"0",0,"0","1.02","Sample",2791,"APC0235 Arctic charr qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","",NA,NA,NA,NA,NA,NA,NA,33.9,0.6,0.6,20.2,NA,101.2,"115.1*",10.4,42.2,-44.7,7.6,216.6,NA,NA,NA,NA,"Y",NA,NA,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.5,0.4,0.8,0.6,0.3,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","FOR21-R","Right","Forteau Brook","FOR",4,"2021","August","23","8/23/2021",51.50037,-56.94992,"MIFISHU","Salvelinus alpinus",1126179,3,"2.664e-06",2,"1.776e-06","1.02","Sample",2791,"APC0235 Arctic charr qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","",NA,NA,NA,NA,NA,NA,NA,33.9,0.6,0.6,20.2,NA,101.2,"115.1*",10.4,42.2,-44.7,7.6,216.6,NA,NA,NA,NA,"Y",NA,NA,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.5,0.4,0.8,0.6,0.3,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","FRA21-L1","Left","Fraser River","FRA",2,"2021","August","29","8/29/2021",56.62572,-62.37161,"FISHE","Salvelinus alpinus",1770,1041,"0.5881",1027,"0.5802","1.03","Sample",1443,"APC0235 Arctic charr qPCR 04","34.981","34.317","34.367",34.555,0.37,4.391,6.937,6.705,6.011,"Detected","","319",NA,NA,NA,NA,NA,NA,28.5,0.1,0.1,14.5,NA,101.9,"129.1",12.9,52.6,-24.2,7.3,134,NA,NA,NA,NA,"N","5 char swam by when sampling","Main channel about 20m, too deep. Max depth ~1.5m, dpeth/flow 1 - edge of main channel",0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","FRA21-L1","Left","Fraser River","FRA",2,"2021","August","29","8/29/2021",56.62572,-62.37161,"MIFISHU","Salvelinus alpinus",260256,4,"1.537e-05",2,"7.685e-06","1.03","Sample",1443,"APC0235 Arctic charr qPCR 04","34.981","34.317","34.367",34.555,0.37,4.391,6.937,6.705,6.011,"Detected","","319",NA,NA,NA,NA,NA,NA,28.5,0.1,0.1,14.5,NA,101.9,"129.1",12.9,52.6,-24.2,7.3,134,NA,NA,NA,NA,"N","5 char swam by when sampling","Main channel about 20m, too deep. Max depth ~1.5m, dpeth/flow 1 - edge of main channel",0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","FRA21-L2","Left","Fraser River","FRA",3,"2021","August","29","8/29/2021",56.62572,-62.37161,"FISHE","Salvelinus alpinus",2067,2067,"1",2045,"0.9894","1.05","Sample",2120,"APC0235 Arctic charr qPCR 04","33.577","33.026","33.329",33.311,0.276,11.552,16.883,13.708,14.0476666666667,"Detected","","319",NA,NA,NA,NA,NA,NA,28.5,0.1,0.1,14.5,NA,101.9,"129.1",12.9,52.6,-24.2,7.3,134,NA,NA,NA,NA,"N","5 char swam by when sampling","Main channel about 20m, too deep. Max depth ~1.5m, dpeth/flow 1 - edge of main channel",0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","FRA21-L2","Left","Fraser River","FRA",3,"2021","August","29","8/29/2021",56.62572,-62.37161,"MIFISHU","Salvelinus alpinus",237996,237963,"0.9999",237955,"0.9998","1.05","Sample",2120,"APC0235 Arctic charr qPCR 04","33.577","33.026","33.329",33.311,0.276,11.552,16.883,13.708,14.0476666666667,"Detected","","319",NA,NA,NA,NA,NA,NA,28.5,0.1,0.1,14.5,NA,101.9,"129.1",12.9,52.6,-24.2,7.3,134,NA,NA,NA,NA,"N","5 char swam by when sampling","Main channel about 20m, too deep. Max depth ~1.5m, dpeth/flow 1 - edge of main channel",0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","FRA21-L3","Left","Fraser River","FRA",4,"2021","August","29","8/29/2021",56.62572,-62.37161,"FISHE","Salvelinus alpinus",2737,2115,"0.7727",2093,"0.7647","1.02","Sample",2446,"APC0235 Arctic charr qPCR 04","33.297","34.177","33.555",33.677,0.453,14.014,7.64,11.726,11.1266666666667,"Detected","","319",NA,NA,NA,NA,NA,NA,28.5,0.1,0.1,14.5,NA,101.9,"129.1",12.9,52.6,-24.2,7.3,134,NA,NA,NA,NA,"N","5 char swam by when sampling","Main channel about 20m, too deep. Max depth ~1.5m, dpeth/flow 1 - edge of main channel",0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
